Wave	PROMISSAO_Agua_1_vs_Agua_1	PROMISSAO_Amostra_P03_vs_Agua_1	PROMISSAO_Amostra_P19_vs_Agua_1	PROMISSAO_Amostra_P18_vs_Agua_1	PROMISSAO_Amostra_P11_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1.1	PROMISSAO_Agua_2_vs_Agua_1	PROMISSAO_Amostra_P13_vs_Agua_1A	PROMISSAO_Amostra_P12_vs_Agua_1A	PROMISSAO_Amostra_P01_vs_Agua_1A	PROMISSAO_Amostra_P07_vs_Agua_1A	PROMISSAO_Amostra_P22_vs_Agua_1A	PROMISSAO_Amostra_P08_vs_Agua_1A	PROMISSAO_Agua_5_vs_Agua_4
273	-0.000171	0.727597	0.779296	0.735699	0.761323	0.746142	0.746142	0.00097325	0.769479	0.733952	0.728872	0.759319	0.738839	0.763463	0.000198333
274	-0.000167	0.716192	0.768437	0.724331	0.750245	0.735323	0.735323	0.000985	0.758657	0.723054	0.718035	0.74791	0.72773	0.752147	0.000168333
275	-0.000104	0.704635	0.757361	0.71278	0.739022	0.724351	0.724351	0.00098925	0.747572	0.711867	0.706828	0.736218	0.716298	0.740586	0.000160333
276	-0.000103	0.69285	0.745975	0.700981	0.727608	0.713157	0.713157	0.0009615	0.736355	0.700544	0.695436	0.724371	0.704663	0.728921	0.000136
277	-0.000106	0.680861	0.734394	0.689059	0.716094	0.70178	0.70178	0.000972	0.724993	0.688992	0.683729	0.712216	0.692789	0.717014	0.000164333
278	-8.9e-05	0.668514	0.722412	0.676791	0.704323	0.690101	0.690101	0.000965	0.713337	0.677304	0.671689	0.699732	0.680579	0.704696	0.000167333
279	-0.000113	0.655926	0.710042	0.664277	0.692286	0.678124	0.678124	0.000963	0.70136	0.665286	0.659289	0.686981	0.668033	0.691994	0.000145333
280	-0.000114	0.643092	0.697434	0.651492	0.680135	0.665985	0.665985	0.000931	0.689164	0.653173	0.646589	0.673936	0.655336	0.679028	0.000146333
281	-9.6e-05	0.630127	0.68481	0.638609	0.667885	0.653796	0.653796	0.00094675	0.676826	0.640823	0.63371	0.660719	0.642505	0.665905	0.000137
282	-8.5e-05	0.616843	0.671922	0.625481	0.655526	0.641513	0.641513	0.00094025	0.664272	0.628352	0.620529	0.647137	0.629428	0.652494	0.000153667
283	-9.2e-05	0.603516	0.658937	0.612372	0.64304	0.629144	0.629144	0.00093075	0.651647	0.615778	0.6073	0.633524	0.616161	0.639013	0.000137
284	-0.00013	0.589977	0.645632	0.599089	0.630438	0.616616	0.616616	0.0008915	0.63893	0.603073	0.593855	0.619732	0.602675	0.625354	0.000134
285	-0.000154	0.576654	0.632629	0.586047	0.618012	0.604152	0.604152	0.00088525	0.626381	0.590554	0.580509	0.606094	0.589341	0.611894	0.000111667
286	-0.000143	0.563267	0.619647	0.572844	0.6056	0.591645	0.591645	0.00090125	0.61368	0.577999	0.567017	0.592413	0.575933	0.598269	0.000102
287	-0.000134	0.550022	0.606734	0.559728	0.593313	0.579191	0.579191	0.00093225	0.600986	0.565535	0.553658	0.578736	0.562562	0.584606	8e-05
288	-6.2e-05	0.536793	0.593858	0.546619	0.581067	0.566921	0.566921	0.000959	0.588379	0.553075	0.54039	0.565183	0.549247	0.570977	7.53333e-05
289	-8.5e-05	0.523591	0.580928	0.533691	0.568954	0.554718	0.554718	0.00092775	0.575909	0.540635	0.527196	0.551602	0.536061	0.55748	5.03333e-05
290	-8.2e-05	0.510565	0.568122	0.520952	0.557019	0.542711	0.542711	0.0009065	0.563687	0.52837	0.51413	0.538335	0.523097	0.544238	4.36667e-05
